Sitio,1,2,3,4,5,6,7,8
1,1.0,0.9929546127814958,0.7843930781213737,0.9583606570750555,0.920450011250919,0.7498129738649161,0.48874779006622604,0.853024679189709
2,0.9929546127814958,1.0,0.8400938584218781,0.9416799651491317,0.9040054843891113,0.8011169519410478,0.43480835903865617,0.8888599684822645
3,0.7843930781213737,0.8400938584218781,1.0,0.7720272233744052,0.6584562921700711,0.9847175741302242,0.39576282966068266,0.9526748781699521
4,0.9583606570750555,0.9416799651491317,0.7720272233744052,1.0,0.948599938395624,0.7647247651352305,0.6721105284866088,0.8522274304433349
5,0.920450011250919,0.9040054843891113,0.6584562921700711,0.948599938395624,1.0,0.6158799728409631,0.48467961684814703,0.7243690833050013
6,0.7498129738649161,0.8011169519410478,0.9847175741302242,0.7647247651352305,0.6158799728409631,1.0,0.49229240496794124,0.9709162770755941
7,0.48874779006622604,0.43480835903865617,0.39576282966068266,0.6721105284866088,0.48467961684814703,0.49229240496794124,1.0,0.5233369941395742
8,0.853024679189709,0.8888599684822645,0.9526748781699521,0.8522274304433349,0.7243690833050013,0.9709162770755941,0.5233369941395742,1.0
