Columna,Mejor_Distribucion,KS_stat,p_value,Parametros
Espesor_1,lognorm,0.1334731703026245,0.7155288109909701,"(0.8831214429522092, 0.355992892090914, 3.004214766090959)"
Espesor_2,lognorm,0.10946296820357326,0.8938856406602407,"(1.045469904288838, 3.337821584688705, 11.724324079065557)"
Espesor_3,expon,0.1415122372786408,0.6946108512908228,"(20.0, 47.236086956521746)"
