Modelo_ID,Sitio_ID,AB2,Resistividad_Aparente,AB2_Predicho
S2-ZR-PEBSA-Prueba,8,2,287.7,7.17
S2-ZR-PEBSA-Prueba,8,5,392.9,9.31
S2-ZR-PEBSA-Prueba,8,10,596.9,26.148459542908075
S2-ZR-PEBSA-Prueba,8,10,577.8,24.263291316526615
S2-ZR-PEBSA-Prueba,8,15,999.1,32.36681478093629
S2-ZR-PEBSA-Prueba,8,20,1147.8,25.211171357237532
S2-ZR-PEBSA-Prueba,8,30,1281.8,19.52135826836562
S2-ZR-PEBSA-Prueba,8,40,1298.0,33.181191601698956
S2-ZR-PEBSA-Prueba,8,40,1842.5,33.682620044987694
S2-ZR-PEBSA-Prueba,8,50,1871.6,48.737481156098795
S2-ZR-PEBSA-Prueba,8,60,2163.8,33.591217165703235
S2-ZR-PEBSA-Prueba,8,70,1965.6,77.87966214177979
S2-ZR-PEBSA-Prueba,8,80,1600.0,36.05213965283083
S2-ZR-PEBSA-Prueba,8,90,1517.1,51.23342320261437
S2-ZR-PEBSA-Prueba,8,100,1660.4,27.59627060521178
