Sitio,Espesor,Media,Desviación estándar,Mínimo,Máximo,Mediana,Moda,Mejor_Distribucion,Parametros,KS_stat,p_value,AIC
2,Espesor_1,2.6399999999999997,0.844393273303382,1.3,3.5,3.0,3.0,lognorm,"(14.61366159926754, 1.2999999999999998, 0.0010920202374532027)",0.48196112363396754,0.1379092920756172,-21.188305189872928
2,Espesor_2,10.8,7.076369125476709,4.5,23.0,9.0,9.0,lognorm,"(14.605073800542122, 4.499999999999999, 0.004215328189642214)",0.48060079940366923,0.14002750325547886,-7.687203061153603
2,Espesor_3,49.5,14.568802284333465,32.0,66.0,45.5,32.0,beta,"(0.40022083185560214, 0.43981305675127835, 31.608409513891722, 34.391590486108285)",0.20128557665977498,0.9595983624563718,5.00112357242461
7,Espesor_1,17.666666666666668,19.655363983740756,3.0,40.0,10.0,3.0,lognorm,"(17.986993737838386, 2.9999999999999996, 4.8632134154732446e-05)",0.412141784305805,0.5610739004241352,-27.735831534908527
7,Espesor_2,20.0,6.0,14.0,26.0,20.0,14.0,lognorm,"(17.021255264576595, 13.999999999999998, 5.0383411390604046e-05)",0.42051432768046054,0.5380455313706067,-27.85468302110874
7,Espesor_3,140.66666666666666,62.04299584427991,80.0,204.0,138.0,80.0,lognorm,"(17.126641195854155, 79.99999999999999, 0.0004675448662734568)",0.4199340746052957,0.539636833826906,-14.450648965120749
