Modelo_ID,AB2,Resistividad_Aparente
S2-AMEBSA,4.0,116.51310087004508
S2-AMEBSA,5.0,119.22573985441329
S2-AMEBSA,7.0,185.4136746513355
S2-AMEBSA,8.0,164.79648729193704
S2-AMEBSA,10.0,226.2495500160381
S2-AMEBSA,12.0,281.9874941830172
S2-AMEBSA,15.0,369.7032934316077
S2-AMEBSA,18.0,326.50569486245456
S2-AMEBSA,20.0,454.59512501634657
S2-AMEBSA,23.0,435.15030359130253
S2-AMEBSA,28.0,487.4111800047882
S2-AMEBSA,30.0,595.6808472658375
S2-AMEBSA,33.0,661.5880889427987
S2-AMEBSA,38.0,533.2040614117807
S2-AMEBSA,40.0,608.672766548244
S2-AMEBSA,43.0,714.7797756917747
S2-AMEBSA,48.0,788.9191053076676
S2-AMEBSA,50.0,661.0356810894361
S2-AMEBSA,54.0,682.4946959924948
S2-AMEBSA,58.0,805.9208009193072
S2-AMEBSA,60.0,723.5821111351229
S2-AMEBSA,64.0,819.6506791573314
S2-AMEBSA,68.0,974.5486668129387
S2-AMEBSA,70.0,897.1111714402451
S2-AMEBSA,75.0,929.474064948048
S2-AMEBSA,80.0,710.7603154373334
S2-AMEBSA,85.0,939.5644552766769
S2-AMEBSA,90.0,995.5018811061764
S3-AMEBSA,1.0,89.70826789062473
S3-AMEBSA,2.0,96.06999411003967
S3-AMEBSA,4.0,122.37971542775999
S3-AMEBSA,5.0,121.77742289158175
S3-AMEBSA,7.0,190.09182167735875
S3-AMEBSA,8.0,170.65839479618893
S3-AMEBSA,10.0,238.8743010025629
S3-AMEBSA,12.0,302.11459019830914
S3-AMEBSA,15.0,401.9865339911401
S3-AMEBSA,18.0,358.64116719324534
S3-AMEBSA,20.0,502.16979479577077
S3-AMEBSA,23.0,484.51730981562764
S3-AMEBSA,28.0,550.0094381885235
S3-AMEBSA,30.0,675.9839056324811
S3-AMEBSA,33.0,757.4408119419813
S3-AMEBSA,38.0,620.1196866016465
S3-AMEBSA,40.0,712.5650563362456
S3-AMEBSA,43.0,845.3090469094183
S3-AMEBSA,48.0,949.4056609407219
S3-AMEBSA,50.0,801.1904736421278
S3-AMEBSA,54.0,839.1898602606528
S3-AMEBSA,58.0,1005.4337309772939
S3-AMEBSA,60.0,909.2952892951055
S3-AMEBSA,64.0,1045.0774776379274
S3-AMEBSA,68.0,1260.635522122257
S3-AMEBSA,70.0,1168.8113757354981
S3-AMEBSA,75.0,1232.6385019444535
S3-AMEBSA,80.0,959.146569651065
S3-AMEBSA,85.0,1289.7160182002456
S3-AMEBSA,90.0,1389.4531806720988
S4-AMEBSA,1.0,3.775844687204922
S4-AMEBSA,2.0,4.035408362571251
S4-AMEBSA,4.0,5.101969319457644
S4-AMEBSA,5.0,5.061690159341141
S4-AMEBSA,7.0,7.886378833868143
S4-AMEBSA,8.0,7.087437522782396
S4-AMEBSA,10.0,9.972699155437734
S4-AMEBSA,12.0,12.72159184473964
S4-AMEBSA,15.0,17.2196957196861
S4-AMEBSA,18.0,15.676711965685495
S4-AMEBSA,20.0,22.267673781833942
S4-AMEBSA,23.0,21.961413678089148
S4-AMEBSA,28.0,25.841096222599383
S4-AMEBSA,30.0,32.199830665415746
S4-AMEBSA,33.0,36.801908259068966
S4-AMEBSA,38.0,31.068219531619253
S4-AMEBSA,40.0,36.110981967667094
S4-AMEBSA,43.0,43.54445174285132
S4-AMEBSA,48.0,50.15671255770003
S4-AMEBSA,50.0,42.72864955866025
S4-AMEBSA,54.0,45.565319760258944
S4-AMEBSA,58.0,55.51602062763941
S4-AMEBSA,60.0,50.611467499721044
S4-AMEBSA,64.0,59.06852837942925
S4-AMEBSA,68.0,72.29570545205004
S4-AMEBSA,70.0,67.50083771012525
S4-AMEBSA,75.0,72.39482552091873
S4-AMEBSA,80.0,57.23906303202907
S4-AMEBSA,85.0,78.14872830423676
S4-AMEBSA,90.0,85.43221879446862
S5-AMEBSA,1.0,45.175325129709556
S5-AMEBSA,2.0,47.481668026335136
S5-AMEBSA,4.0,56.46237997189393
S5-AMEBSA,5.0,54.550778633208296
S5-AMEBSA,7.0,82.21893178514937
S5-AMEBSA,8.0,73.17488475824614
S5-AMEBSA,10.0,101.63500010231446
S5-AMEBSA,12.0,128.43893294539555
S5-AMEBSA,15.0,171.71462886862193
S5-AMEBSA,18.0,154.45501664742707
S5-AMEBSA,20.0,217.6442905025315
S5-AMEBSA,23.0,212.11526618427635
S5-AMEBSA,28.0,244.82693401779045
S5-AMEBSA,30.0,302.8021457017302
S5-AMEBSA,33.0,342.31527882888975
S5-AMEBSA,38.0,283.9561709002793
S5-AMEBSA,40.0,327.80963081496145
S5-AMEBSA,43.0,391.36324338783305
S5-AMEBSA,48.0,443.5848389535985
S5-AMEBSA,50.0,375.5245192007872
S5-AMEBSA,54.0,395.55433684170185
S5-AMEBSA,58.0,476.1850439311528
S5-AMEBSA,60.0,431.5636607148271
S5-AMEBSA,64.0,497.866930987559
S5-AMEBSA,68.0,602.4692976602126
S5-AMEBSA,70.0,559.3718595132779
S5-AMEBSA,75.0,591.7257670906722
S5-AMEBSA,80.0,461.592545178021
S5-AMEBSA,85.0,621.9610999242983
S5-AMEBSA,90.0,671.1990403660543
S1-BMEBSA,1.0,118.09916349825578
S1-BMEBSA,2.0,126.86811937025404
S1-BMEBSA,4.0,163.8197491816171
S1-BMEBSA,5.0,164.25250572876993
S1-BMEBSA,7.0,259.8282872913778
S1-BMEBSA,8.0,234.5906441045997
